2025-02-02 10:52:07.203 +05:30 [WRN] Failed to determine the https port for redirect.
2025-02-02 10:54:40.895 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 10:54:40.905 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:01:50.900 +05:30 [WRN] Failed to determine the https port for redirect.
2025-02-02 11:07:22.077 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:07:23.496 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:28:59.381 +05:30 [WRN] Failed to determine the https port for redirect.
2025-02-02 11:29:00.712 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:29:00.792 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:29:27.614 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:29:27.632 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:29:52.626 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:29:52.636 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:30:06.344 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:30:06.370 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:30:24.661 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:30:24.672 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:34:25.836 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:34:25.843 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:35:50.819 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
2025-02-02 11:35:50.839 +05:30 [INF] MatchFlightByNumberAndType invoked with FlightType: Domestic, FlightNumber: undefined
